municipio;cpr;unidade;status
Abaíra;CPR-CH;29ª CIPM/SEABRA;MAPEADO
Abaré;CPR-N;45ª CIPM/CURAÇA;MAPEADO
Acajutiba;CPR-LN;6ª CIPM/RIO REAL;MAPEADO
Adustina;CPR-NE;21ª CIPM/CIPÓ;MAPEADO
Água Fria;CPR-L;97ª CIPM/IRARÁ;MAPEADO
Érico Cardoso;CPR-SO;46ª CIPM/LIVRAMENTO DE NOSSA SRA;MAPEADO
Aiquara;CPR-MRC;55ª CIPM/IPIAÚ;MAPEADO
Alagoinhas;CPR-LN;4º BPM/ALAGOINHAS;MAPEADO
Alcobaça;CPR-ES;88ª CIPM/ALCOBAÇA;MAPEADO
Almadina;CPR-S;15º BPM/ITABUNA;MAPEADO
Amargosa;CPR-R;99ª CIPM/AMARGOSA;MAPEADO
Amélia Rodrigues;CPR-L;66ª CIPM/CONCEIÇÃO DO JACUÍPE;MAPEADO
América Dourada;CPR-CN;3ª CIPM/MORRO DO CHAPÉU;MAPEADO
Anagé;CPR-SO;24º BPM/BRUMADO;MAPEADO
Andaraí;CPR-CH;42ª CIPM/LENÇÓIS;MAPEADO
Andorinha;CPR-N;6º BPM/SENHOR DO BONFIM;MAPEADO
Angical;CPR-O;84ª CIPM/BARREIRAS;MAPEADO
Anguera;CPR-L;57ª CIPM/SANTO ESTEVÃO;MAPEADO
Antas;CPR-NE;20º BPM/PAULO AFONSO;MAPEADO
Antônio Cardoso;CPR-L;57ª CIPM/SANTO ESTEVÃO;MAPEADO
Antônio Gonçalves;CPR-N;54ª CIPM/CAMPO FORMOSO;MAPEADO
Aporá;CPR-LN;6ª CIPM/RIO REAL;MAPEADO
Apuarema;CPR-MRC;19º BPM/JEQUIÉ;MAPEADO
Aracatu;CPR-SO;24º BPM/BRUMADO;MAPEADO
Araçás;CPR-LN;4º BPM/ALAGOINHAS;MAPEADO
Araci;CPR-NE;16º BPM/SERRINHA;MAPEADO
Aramari;CPR-LN;4º BPM/ALAGOINHAS;MAPEADO
